Transaction ID,Warehouse ID,Date,Product ID,Units,Location,Action,Misc1,Shipping Carrier
4985,WH002,2/27/2024,PROD001,100,Aisle 1,Received,0,N/A
4986,WH001,2/27/2024,PROD003,150,Aisle 1,Received,0,N/A
4987,WH001,2/27/2024,PROD001,22,Aisle 1,Received,0,N/A
4988,WH001,2/28/2024,PROD001,50,Aisle 2,Received,0,N/A
4989,WH001,2/28/2024,PROD002,100,Aisle 1,Received,0,N/A
4990,WH001,2/29/2024,PROD001,12,Aisle 1,Shipped,0,CARR001
4991,WH001,2/29/2024,PROD003,15,Aisle 1,Shipped,0,CARR003
4992,WH001,3/1/2024,PROD001,50,Aisle 1,Received,0,N/A
4993,WH002,3/1/2024,PROD001,100,Aisle 1,Shipped,0,CARR003
4994,WH001,3/1/2024,PROD002,25,Aisle 1,Shipped,0,CARR001
4995,WH001,3/1/2024,PROD003,5,Aisle 2,Received,0,N/A
4996,WH001,3/1/2024,PROD003,30,Aisle 1,Shipped,0,CARR003
4997,WH001,3/2/2024,PROD002,30,Aisle 2,Received,0,N/A
4998,WH001,3/2/2024,PROD002,20,Aisle 2,Received,0,N/A
4999,WH001,3/2/2024,PROD003,30,Aisle 1,Shipped,0,CARR003
5000,WH001,3/2/2024,PROD001,20,Aisle 1,Shipped,0,CARR002
5001,WH002,3/2/2024,PROD001,90,Aisle 1,Received,0,N/A
5002,WH001,3/2/2024,PROD001,22,Aisle 2,Received,0,N/A
5003,WH001,3/2/2024,PROD003,40,Aisle 1,Shipped,0,CARR003
5004,WH001,3/2/2024,PROD002,25,Aisle 1,Shipped,0,CARR001
5005,WH001,3/2/2024,PROD003,5,Aisle 2,Received,0,N/A
5006,WH001,3/2/2024,PROD003,15,Aisle 1,Shipped,0,CARR003
5007,WH001,3/2/2024,PROD003,10,Aisle 2,Shipped,0,CARR003
5008,WH001,3/3/2024,PROD003,30,Aisle 1,Received,0,N/A
5009,WH002,3/3/2024,PROD001,90,Aisle 1,Shipped,0,CARR003
5010,WH001,3/3/2024,PROD003,20,Aisle 1,Received,0,N/A
5011,WH001,3/3/2024,PROD003,25,Aisle 1,Received,0,N/A
5012,WH001,3/3/2024,PROD003,20,Aisle 1,Shipped,0,CARR003
5013,WH001,3/3/2024,PROD001,12,Aisle 2,Shipped,0,CARR003
5014,WH001,3/3/2024,PROD002,40,Aisle 1,Shipped,0,CARR002
5015,WH001,3/3/2024,PROD002,9,Aisle 1,Shipped,0,CARR003
5016,WH001,3/3/2024,PROD003,5,Aisle 2,Received,0,N/A
5017,WH001,3/3/2024,PROD003,5,Aisle 2,Shipped,0,CARR003
5018,WH002,3/3/2024,PROD001,100,Aisle 1,Received,0,N/A
